timestamp,hostel_id,floor_no,wing,room_no,room_capacity,students_present,students_outside,students_on_leave,day_of_week,is_weekend,is_holiday,hour_of_day,room_status,temperature,expected_energy_kwh,actual_energy_kwh,energy_difference,anomaly
2026-07-29 03:00,B,3,A,322,4,3,0,1,Wednesday,0,0,3,Occupied,25.2,0.97,0.89,-0.08,0
2026-07-18 19:00,D,2,B,211,4,3,0,1,Saturday,1,0,19,Occupied,27.0,0.99,0.97,-0.02,0
2026-08-23 02:00,D,3,A,312,4,3,0,1,Sunday,1,0,2,Occupied,37.8,1.16,1.21,0.05,0
2026-07-29 08:00,D,4,B,416,4,2,2,0,Wednesday,0,0,8,Occupied,39.1,0.88,0.96,0.08,0
2026-07-07 08:00,B,3,A,323,4,1,3,0,Tuesday,0,0,8,Occupied,35.7,0.53,0.52,-0.01,0
2026-08-08 02:00,D,3,B,310,4,2,2,0,Saturday,1,0,2,Occupied,24.7,0.66,0.71,0.05,0
2026-08-30 10:00,C,2,B,210,4,2,1,1,Sunday,1,0,10,Occupied,26.8,0.69,0.63,-0.06,0
2026-07-02 11:00,B,4,A,412,4,0,4,0,Thursday,0,0,11,Empty,31.4,0.16,0.25,0.09,0
2026-08-06 17:00,B,1,B,102,4,2,1,1,Thursday,0,0,17,Occupied,29.8,0.74,0.69,-0.05,0
2026-08-16 07:00,B,3,A,309,4,2,2,0,Sunday,1,0,7,Occupied,24.2,0.65,0.64,-0.01,0
2026-08-12 07:00,B,1,B,110,4,4,0,0,Wednesday,0,0,7,Occupied,37.7,1.46,1.49,0.03,0
2026-07-23 02:00,D,1,B,119,4,4,0,0,Thursday,0,0,2,Occupied,36.7,1.44,1.51,0.07,0
2026-08-26 02:00,C,3,A,314,4,3,1,0,Wednesday,0,0,2,Occupied,33.8,1.1,1.19,0.09,0
2026-07-21 12:00,D,4,A,402,4,0,4,0,Tuesday,0,0,12,Empty,26.7,0.09,0.15,0.06,0
2026-08-08 14:00,A,1,B,112,4,2,1,1,Saturday,1,0,14,Occupied,39.3,0.88,0.81,-0.07,0
2026-07-10 11:00,D,3,A,305,4,1,2,1,Friday,0,0,11,Occupied,28.5,0.42,0.46,0.04,0
2026-07-27 01:00,C,1,B,125,4,3,0,1,Monday,0,0,1,Occupied,36.6,1.14,1.08,-0.06,0
2026-07-28 10:00,B,1,A,116,4,1,3,0,Tuesday,0,0,10,Occupied,37.1,0.55,0.65,0.1,0
2026-08-07 19:00,C,1,B,116,4,3,0,1,Friday,0,0,19,Occupied,27.5,1.0,0.95,-0.05,0
2026-07-20 09:00,C,2,B,223,4,0,3,1,Monday,0,0,9,Empty,26.4,0.09,0.67,0.58,1
2026-07-18 09:00,C,2,A,201,4,2,1,1,Saturday,1,0,9,Occupied,34.4,0.81,0.85,0.04,0
2026-08-10 04:00,C,3,A,305,4,2,1,1,Monday,0,0,4,Occupied,39.2,0.88,0.9,0.02,0
2026-08-26 09:00,C,1,A,104,4,0,3,1,Wednesday,0,0,9,Empty,24.5,0.06,0.15,0.09,0
2026-07-10 19:00,D,1,B,120,4,3,0,1,Friday,0,0,19,Occupied,25.2,0.97,0.95,-0.02,0
2026-08-02 20:00,B,3,A,315,4,2,2,0,Sunday,1,0,20,Occupied,36.1,0.83,0.79,-0.04,0
2026-07-10 01:00,D,2,A,224,4,4,0,0,Friday,0,0,1,Occupied,30.2,1.34,1.33,-0.01,0
2026-08-15 15:00,A,3,A,321,4,0,1,3,Saturday,1,1,15,Empty,31.3,0.16,0.26,0.1,0
2026-07-02 09:00,A,1,A,112,4,2,2,0,Thursday,0,0,9,Occupied,31.7,0.77,0.77,0.0,0
2026-08-01 01:00,C,2,B,205,4,3,1,0,Saturday,1,0,1,Occupied,35.5,1.12,1.14,0.02,0
2026-07-24 16:00,A,4,B,423,4,2,1,1,Friday,0,0,16,Occupied,29.1,0.73,0.73,0.0,0
2026-07-16 13:00,B,2,B,218,4,1,2,1,Thursday,0,0,13,Occupied,38.9,0.57,0.53,-0.04,0
2026-07-11 14:00,C,1,B,103,4,3,0,1,Saturday,1,0,14,Occupied,36.2,1.13,1.15,0.02,0
2026-07-08 09:00,A,2,B,208,4,0,4,0,Wednesday,0,0,9,Empty,30.0,0.14,0.15,0.01,0
2026-07-19 08:00,A,4,B,418,4,2,1,1,Sunday,1,0,8,Occupied,33.1,0.79,0.85,0.06,0
2026-07-21 12:00,D,2,A,219,4,1,3,0,Tuesday,0,0,12,Occupied,34.9,0.51,0.48,-0.03,0
2026-08-28 13:00,C,4,B,421,4,2,2,0,Friday,0,0,13,Occupied,32.3,0.77,0.73,-0.04,0
2026-08-15 17:00,C,2,B,209,4,0,0,4,Saturday,1,1,17,Empty,28.7,0.12,0.17,0.05,0
2026-08-21 07:00,A,4,A,418,4,2,1,1,Friday,0,0,7,Occupied,34.4,0.81,0.77,-0.04,0
2026-08-01 20:00,C,1,B,113,4,3,1,0,Saturday,1,0,20,Occupied,24.8,0.96,0.98,0.02,0
2026-07-18 14:00,B,1,B,105,4,2,2,0,Saturday,1,0,14,Occupied,27.0,0.7,0.63,-0.07,0
2026-08-03 19:00,D,1,A,125,4,3,0,1,Monday,0,0,19,Occupied,38.4,1.17,1.23,0.06,0
2026-07-27 14:00,D,3,B,308,4,0,4,0,Monday,0,0,14,Empty,37.3,0.25,0.18,-0.07,0
2026-07-16 10:00,C,3,B,324,4,1,2,1,Thursday,0,0,10,Occupied,38.7,0.57,0.5,-0.07,0
2026-07-18 15:00,D,2,A,224,4,3,1,0,Saturday,1,0,15,Occupied,25.1,0.97,0.93,-0.04,0
2026-07-02 03:00,D,2,B,211,4,3,1,0,Thursday,0,0,3,Occupied,32.9,1.08,1.06,-0.02,0
2026-07-12 08:00,A,1,B,103,4,3,1,0,Sunday,1,0,8,Occupied,32.9,1.08,1.08,0.0,0
2026-07-17 06:00,C,1,A,107,4,2,1,1,Friday,0,0,6,Occupied,27.0,0.7,0.66,-0.04,0
2026-08-24 07:00,B,4,B,421,4,2,1,1,Monday,0,0,7,Occupied,30.8,0.75,0.8,0.05,0
2026-07-08 22:00,A,2,A,211,4,4,0,0,Wednesday,0,0,22,Occupied,27.2,1.3,1.35,0.05,0
2026-07-13 00:00,A,4,A,414,4,2,1,1,Monday,0,0,0,Occupied,24.9,0.66,0.63,-0.03,0
2026-07-15 09:00,A,1,A,118,4,1,3,0,Wednesday,0,0,9,Occupied,35.6,0.52,0.54,0.02,0
2026-07-13 15:00,B,4,A,418,4,2,2,0,Monday,0,0,15,Occupied,33.5,0.79,0.86,0.07,0
2026-08-18 00:00,C,1,A,110,4,3,1,0,Tuesday,0,0,0,Occupied,32.7,1.08,1.03,-0.05,0
2026-07-12 08:00,D,2,A,209,4,2,1,1,Sunday,1,0,8,Occupied,35.0,0.81,0.77,-0.04,0
2026-08-10 19:00,D,1,B,105,4,4,0,0,Monday,0,0,19,Occupied,26.4,1.29,1.33,0.04,0
2026-08-05 06:00,B,1,A,105,4,3,0,1,Wednesday,0,0,6,Occupied,38.9,1.17,1.22,0.05,0
2026-08-02 06:00,C,2,A,215,4,2,1,1,Sunday,1,0,6,Occupied,29.8,0.74,0.71,-0.03,0
2026-08-25 20:00,C,1,A,119,4,4,0,0,Tuesday,0,0,20,Occupied,38.0,1.46,1.52,0.06,0
2026-07-06 16:00,D,2,B,214,4,2,1,1,Monday,0,0,16,Occupied,32.8,0.78,0.81,0.03,0
2026-07-12 13:00,B,1,A,119,4,2,1,1,Sunday,1,0,13,Occupied,36.2,0.83,0.8,-0.03,0
2026-08-23 19:00,C,1,A,109,4,4,0,0,Sunday,1,0,19,Occupied,36.6,1.44,1.51,0.07,0
2026-08-24 12:00,A,2,A,209,4,1,2,1,Monday,0,0,12,Occupied,33.5,0.49,0.43,-0.06,0
2026-08-29 05:00,C,1,A,109,4,0,1,3,Saturday,1,1,5,Empty,33.2,0.19,0.11,-0.08,0
2026-07-16 04:00,D,4,A,418,4,3,0,1,Thursday,0,0,4,Occupied,35.4,1.12,1.17,0.05,0
2026-07-06 21:00,C,1,B,105,4,3,0,1,Monday,0,0,21,Occupied,38.3,1.16,1.18,0.02,0
2026-07-16 22:00,C,2,B,210,4,2,1,1,Thursday,0,0,22,Occupied,31.9,0.77,0.79,0.02,0
2026-07-01 10:00,A,4,A,404,4,2,2,0,Wednesday,0,0,10,Occupied,37.2,0.85,0.8,-0.05,0
2026-08-18 02:00,B,4,B,407,4,3,1,0,Tuesday,0,0,2,Occupied,26.2,0.98,1.06,0.08,0
2026-08-25 19:00,B,2,A,211,4,3,1,0,Tuesday,0,0,19,Occupied,28.8,1.02,1.1,0.08,0
2026-07-17 04:00,B,3,A,318,4,3,1,0,Friday,0,0,4,Occupied,27.4,1.0,0.99,-0.01,0
2026-08-12 21:00,C,4,A,408,4,3,1,0,Wednesday,0,0,21,Occupied,32.8,1.08,1.1,0.02,0
2026-08-06 16:00,B,1,A,121,4,2,1,1,Thursday,0,0,16,Occupied,36.1,0.83,0.91,0.08,0
2026-08-19 21:00,D,1,B,104,4,3,1,0,Wednesday,0,0,21,Occupied,24.4,0.96,0.89,-0.07,0
2026-08-15 00:00,A,3,A,320,4,0,0,4,Saturday,1,1,0,Empty,32.8,0.18,0.76,0.58,1
2026-07-14 16:00,A,3,B,306,4,1,3,0,Tuesday,0,0,16,Occupied,35.3,0.52,0.55,0.03,0
2026-07-12 09:00,C,1,A,107,4,4,0,0,Sunday,1,0,9,Occupied,26.3,1.28,1.26,-0.02,0
2026-07-17 15:00,A,3,B,316,4,0,3,1,Friday,0,0,15,Empty,38.2,0.26,0.25,-0.01,0
2026-08-12 21:00,B,1,A,110,4,4,0,0,Wednesday,0,0,21,Occupied,32.6,1.38,1.32,-0.06,0
2026-07-07 16:00,C,2,A,209,4,0,4,0,Tuesday,0,0,16,Empty,33.4,0.19,0.17,-0.02,0
2026-08-10 23:00,C,3,A,322,4,3,0,1,Monday,0,0,23,Occupied,31.2,1.06,1.16,0.1,0
2026-07-19 22:00,C,2,A,223,4,4,0,0,Sunday,1,0,22,Occupied,34.7,1.41,1.45,0.04,0
2026-08-06 04:00,A,1,A,103,4,2,1,1,Thursday,0,0,4,Occupied,36.5,0.84,0.79,-0.05,0
2026-08-04 09:00,B,2,A,208,4,0,3,1,Tuesday,0,0,9,Empty,31.2,0.16,0.9,0.74,1
2026-08-26 10:00,B,3,A,308,4,0,3,1,Wednesday,0,0,10,Empty,26.6,0.09,0.59,0.5,1
2026-07-09 12:00,C,2,A,211,4,0,3,1,Thursday,0,0,12,Empty,30.4,0.15,0.6,0.45,1
2026-07-14 17:00,B,2,A,204,4,4,0,0,Tuesday,0,0,17,Occupied,36.0,1.43,1.5,0.07,0
2026-08-18 13:00,B,1,B,118,4,2,1,1,Tuesday,0,0,13,Occupied,37.9,0.86,0.84,-0.02,0
2026-07-28 16:00,D,3,A,319,4,2,2,0,Tuesday,0,0,16,Occupied,29.6,0.73,0.74,0.01,0
2026-07-13 22:00,A,2,A,225,4,2,1,1,Monday,0,0,22,Occupied,32.7,0.78,0.75,-0.03,0
2026-07-21 10:00,A,2,A,207,4,0,3,1,Tuesday,0,0,10,Empty,34.8,0.21,0.97,0.76,1
2026-07-18 17:00,B,4,A,413,4,2,1,1,Saturday,1,0,17,Occupied,33.1,0.79,0.81,0.02,0
2026-07-08 03:00,A,4,A,417,4,2,1,1,Wednesday,0,0,3,Occupied,33.2,0.79,0.83,0.04,0
2026-07-15 16:00,A,3,B,315,4,2,1,1,Wednesday,0,0,16,Occupied,32.6,0.78,0.7,-0.08,0
2026-08-20 22:00,A,1,A,112,4,3,1,0,Thursday,0,0,22,Occupied,29.7,1.04,1.1,0.06,0
2026-08-08 11:00,A,2,A,218,4,2,2,0,Saturday,1,0,11,Occupied,29.7,0.74,0.84,0.1,0
2026-07-01 06:00,B,2,B,218,4,2,1,1,Wednesday,0,0,6,Occupied,31.3,0.76,0.75,-0.01,0
2026-08-26 03:00,B,4,B,409,4,3,0,1,Wednesday,0,0,3,Occupied,26.6,0.99,1.05,0.06,0
2026-07-03 05:00,C,1,B,104,4,3,1,0,Friday,0,0,5,Occupied,24.6,0.96,1.01,0.05,0
2026-07-27 05:00,D,1,A,123,4,4,0,0,Monday,0,0,5,Occupied,35.2,1.42,1.35,-0.07,0
2026-08-04 17:00,C,1,B,105,4,3,1,0,Tuesday,0,0,17,Occupied,39.7,1.19,1.26,0.07,0
2026-07-09 13:00,C,3,A,310,4,0,3,1,Thursday,0,0,13,Empty,39.0,0.27,0.28,0.01,0
2026-08-07 17:00,C,1,A,124,4,3,1,0,Friday,0,0,17,Occupied,29.1,1.03,1.03,0.0,0
2026-08-01 22:00,A,4,A,412,4,2,2,0,Saturday,1,0,22,Occupied,32.4,0.78,0.74,-0.04,0
2026-07-08 07:00,A,1,A,116,4,2,1,1,Wednesday,0,0,7,Occupied,38.2,0.86,0.8,-0.06,0
2026-07-16 18:00,B,3,B,304,4,3,1,0,Thursday,0,0,18,Occupied,28.1,1.01,1.11,0.1,0
2026-07-29 00:00,B,2,B,204,4,2,1,1,Wednesday,0,0,0,Occupied,28.9,0.72,0.82,0.1,0
2026-08-14 10:00,A,3,A,314,4,0,3,1,Friday,0,0,10,Empty,31.8,0.17,0.25,0.08,0
2026-07-13 16:00,C,1,A,123,4,0,3,1,Monday,0,0,16,Empty,38.6,0.27,0.88,0.61,1
2026-07-16 20:00,C,4,B,401,4,3,1,0,Thursday,0,0,20,Occupied,24.7,0.96,1.03,0.07,0
2026-07-01 00:00,A,1,A,106,4,3,1,0,Wednesday,0,0,0,Occupied,39.1,1.18,1.17,-0.01,0
2026-07-25 04:00,A,1,B,118,4,4,0,0,Saturday,1,0,4,Occupied,28.8,1.32,1.36,0.04,0
2026-08-26 07:00,D,2,A,203,4,3,0,1,Wednesday,0,0,7,Occupied,36.2,1.13,1.11,-0.02,0
2026-07-11 20:00,D,1,B,103,4,2,1,1,Saturday,1,0,20,Occupied,24.4,0.66,0.76,0.1,0
2026-08-03 16:00,D,2,B,219,4,2,2,0,Monday,0,0,16,Occupied,36.3,0.83,0.83,0.0,0
2026-08-17 07:00,A,1,B,116,4,3,0,1,Monday,0,0,7,Occupied,31.8,1.07,1.02,-0.05,0
2026-08-03 07:00,C,2,A,210,4,4,0,0,Monday,0,0,7,Occupied,26.4,1.29,1.36,0.07,0
2026-08-19 03:00,A,4,A,414,4,3,1,0,Wednesday,0,0,3,Occupied,29.1,1.03,1.02,-0.01,0
2026-08-18 19:00,C,4,B,412,4,3,1,0,Tuesday,0,0,19,Occupied,29.2,1.03,1.07,0.04,0
2026-07-15 00:00,D,1,A,115,4,3,1,0,Wednesday,0,0,0,Occupied,32.6,1.08,1.01,-0.07,0
2026-08-21 01:00,D,4,A,401,4,2,1,1,Friday,0,0,1,Occupied,39.6,0.88,0.92,0.04,0
2026-07-12 08:00,C,2,A,213,4,4,0,0,Sunday,1,0,8,Occupied,30.3,1.34,1.42,0.08,0
2026-07-09 02:00,C,1,B,105,4,4,0,0,Thursday,0,0,2,Occupied,30.4,1.35,1.42,0.07,0
2026-07-18 07:00,D,2,A,210,4,2,1,1,Saturday,1,0,7,Occupied,37.8,0.86,0.86,0.0,0
2026-07-15 08:00,C,2,A,203,4,0,4,0,Wednesday,0,0,8,Empty,36.0,0.23,0.58,0.35,1
2026-07-15 01:00,A,2,B,219,4,2,1,1,Wednesday,0,0,1,Occupied,36.1,0.83,0.78,-0.05,0
2026-08-11 04:00,A,1,B,103,4,4,0,0,Tuesday,0,0,4,Occupied,37.0,1.45,1.53,0.08,0
2026-08-21 03:00,A,3,A,323,4,3,0,1,Friday,0,0,3,Occupied,27.1,1.0,1.09,0.09,0
2026-08-15 20:00,C,1,B,103,4,1,1,2,Saturday,1,1,20,Occupied,36.0,0.53,0.62,0.09,0
2026-07-08 09:00,C,3,A,308,4,0,4,0,Wednesday,0,0,9,Empty,30.7,0.15,0.75,0.6,1
2026-07-22 18:00,B,4,A,413,4,3,1,0,Wednesday,0,0,18,Occupied,29.6,1.03,1.05,0.02,0
2026-08-25 07:00,C,2,B,214,4,3,0,1,Tuesday,0,0,7,Occupied,37.1,1.15,1.08,-0.07,0
2026-08-12 07:00,C,1,A,108,4,4,0,0,Wednesday,0,0,7,Occupied,30.2,1.34,1.35,0.01,0
2026-07-14 18:00,A,1,A,111,4,3,0,1,Tuesday,0,0,18,Occupied,35.8,1.13,1.18,0.05,0
2026-07-17 20:00,A,2,A,216,4,4,0,0,Friday,0,0,20,Occupied,32.2,1.37,1.46,0.09,0
2026-07-15 20:00,A,3,A,304,4,2,1,1,Wednesday,0,0,20,Occupied,31.4,0.76,0.72,-0.04,0
2026-07-23 01:00,B,3,A,322,4,3,0,1,Thursday,0,0,1,Occupied,32.2,1.07,1.1,0.03,0
2026-08-30 13:00,D,4,A,412,4,2,2,0,Sunday,1,0,13,Occupied,25.8,0.68,0.64,-0.04,0
2026-07-31 13:00,D,4,B,412,4,0,4,0,Friday,0,0,13,Empty,36.4,0.24,0.28,0.04,0
2026-08-07 21:00,D,3,B,323,4,3,0,1,Friday,0,0,21,Occupied,30.6,1.05,1.05,0.0,0
2026-07-08 19:00,B,4,A,421,4,3,0,1,Wednesday,0,0,19,Occupied,28.4,1.02,1.05,0.03,0
2026-07-02 09:00,B,4,A,424,4,1,2,1,Thursday,0,0,9,Occupied,35.6,0.52,0.57,0.05,0
2026-08-14 22:00,C,1,A,101,4,2,1,1,Friday,0,0,22,Occupied,33.1,0.79,0.78,-0.01,0
2026-08-21 23:00,D,1,A,123,4,3,1,0,Friday,0,0,23,Occupied,35.7,1.13,1.12,-0.01,0
2026-07-22 15:00,D,4,A,412,4,2,2,0,Wednesday,0,0,15,Occupied,37.9,0.86,0.79,-0.07,0
2026-07-03 02:00,C,4,B,415,4,3,1,0,Friday,0,0,2,Occupied,36.2,1.13,1.13,0.0,0
2026-07-08 19:00,D,3,A,309,4,3,1,0,Wednesday,0,0,19,Occupied,32.2,1.07,1.15,0.08,0
2026-08-30 23:00,C,1,A,122,4,3,1,0,Sunday,1,0,23,Occupied,25.6,0.97,0.99,0.02,0
2026-07-18 18:00,B,2,A,204,4,2,1,1,Saturday,1,0,18,Occupied,26.7,0.69,0.67,-0.02,0
2026-07-27 11:00,D,4,B,408,4,1,2,1,Monday,0,0,11,Occupied,29.2,0.43,0.35,-0.08,0
2026-07-07 22:00,B,4,A,422,4,2,1,1,Tuesday,0,0,22,Occupied,38.0,0.86,0.82,-0.04,0
2026-07-11 23:00,B,4,B,413,4,3,0,1,Saturday,1,0,23,Occupied,30.3,1.04,1.13,0.09,0
2026-08-26 22:00,A,4,A,408,4,3,0,1,Wednesday,0,0,22,Occupied,29.8,1.04,1.08,0.04,0
2026-08-13 14:00,B,2,A,214,4,0,3,1,Thursday,0,0,14,Empty,34.6,0.21,0.86,0.65,1
2026-08-14 09:00,A,4,A,412,4,2,1,1,Friday,0,0,9,Occupied,31.8,0.77,0.79,0.02,0
2026-07-09 17:00,B,3,B,324,4,3,1,0,Thursday,0,0,17,Occupied,40.0,1.19,1.14,-0.05,0
2026-07-23 00:00,C,1,B,118,4,3,1,0,Thursday,0,0,0,Occupied,29.1,1.03,0.98,-0.05,0
2026-07-21 00:00,B,2,B,225,4,4,0,0,Tuesday,0,0,0,Occupied,37.5,1.45,1.54,0.09,0
2026-08-13 23:00,C,1,B,110,4,3,1,0,Thursday,0,0,23,Occupied,32.3,1.07,1.15,0.08,0
2026-08-29 19:00,A,1,A,116,4,2,0,2,Saturday,1,1,19,Occupied,38.9,0.87,0.85,-0.02,0
2026-07-29 16:00,A,4,A,418,4,1,3,0,Wednesday,0,0,16,Occupied,30.4,0.45,0.42,-0.03,0
2026-08-04 09:00,B,3,A,310,4,0,4,0,Tuesday,0,0,9,Empty,28.0,0.11,0.85,0.74,1
2026-08-01 06:00,B,4,B,401,4,2,1,1,Saturday,1,0,6,Occupied,25.3,0.67,0.7,0.03,0
2026-07-12 08:00,B,2,A,218,4,2,2,0,Sunday,1,0,8,Occupied,34.0,0.8,0.76,-0.04,0
2026-07-13 11:00,B,3,A,325,4,0,3,1,Monday,0,0,11,Empty,36.8,0.24,0.17,-0.07,0
2026-08-24 02:00,D,3,A,324,4,2,1,1,Monday,0,0,2,Occupied,32.0,0.77,0.83,0.06,0
2026-08-16 20:00,C,2,B,218,4,3,0,1,Sunday,1,0,20,Occupied,24.0,0.95,0.93,-0.02,0
2026-07-07 10:00,B,2,A,219,4,1,2,1,Tuesday,0,0,10,Occupied,28.5,0.42,0.45,0.03,0
2026-08-27 17:00,B,3,A,316,4,3,0,1,Thursday,0,0,17,Occupied,26.3,0.98,0.98,0.0,0
2026-08-16 16:00,B,4,B,416,4,3,1,0,Sunday,1,0,16,Occupied,26.5,0.99,1.02,0.03,0
2026-07-21 15:00,B,4,B,401,4,0,4,0,Tuesday,0,0,15,Empty,26.9,0.09,0.5,0.41,1
2026-07-29 02:00,B,3,A,320,4,2,1,1,Wednesday,0,0,2,Occupied,33.6,0.79,0.88,0.09,0
2026-08-08 06:00,C,1,A,123,4,3,0,1,Saturday,1,0,6,Occupied,35.6,1.12,1.04,-0.08,0
2026-07-21 17:00,A,3,B,317,4,4,0,0,Tuesday,0,0,17,Occupied,27.1,1.3,1.31,0.01,0
2026-07-20 07:00,D,1,A,121,4,2,1,1,Monday,0,0,7,Occupied,32.2,0.77,0.86,0.09,0
2026-08-27 12:00,C,3,B,320,4,2,1,1,Thursday,0,0,12,Occupied,30.4,0.75,0.71,-0.04,0
2026-08-25 17:00,A,2,B,207,4,4,0,0,Tuesday,0,0,17,Occupied,34.0,1.4,1.47,0.07,0
2026-07-22 07:00,A,4,B,422,4,4,0,0,Wednesday,0,0,7,Occupied,29.2,1.33,1.26,-0.07,0
2026-08-15 20:00,C,4,B,402,4,1,0,3,Saturday,1,1,20,Occupied,26.4,0.39,0.47,0.08,0
2026-08-01 17:00,D,4,A,420,4,2,1,1,Saturday,1,0,17,Occupied,36.1,0.83,0.88,0.05,0
2026-08-17 20:00,B,3,B,321,4,4,0,0,Monday,0,0,20,Occupied,37.2,1.45,1.5,0.05,0
2026-08-19 03:00,C,1,A,111,4,2,1,1,Wednesday,0,0,3,Occupied,29.4,0.73,0.66,-0.07,0
2026-08-03 18:00,D,3,A,304,4,3,0,1,Monday,0,0,18,Occupied,32.3,1.07,1.09,0.02,0
2026-07-05 09:00,A,2,A,208,4,2,1,1,Sunday,1,0,9,Occupied,38.3,0.86,0.89,0.03,0
2026-08-24 11:00,D,1,B,118,4,0,3,1,Monday,0,0,11,Empty,24.6,0.06,0.8,0.74,1
2026-08-26 05:00,D,3,B,306,4,3,0,1,Wednesday,0,0,5,Occupied,25.8,0.98,0.95,-0.03,0
2026-07-09 06:00,D,2,B,219,4,2,1,1,Thursday,0,0,6,Occupied,37.6,0.85,0.82,-0.03,0
2026-08-11 00:00,D,2,B,221,4,3,1,0,Tuesday,0,0,0,Occupied,28.4,1.02,1.09,0.07,0
2026-08-14 17:00,C,3,A,320,4,3,0,1,Friday,0,0,17,Occupied,26.1,0.98,1.03,0.05,0
2026-08-25 06:00,C,1,B,106,4,3,0,1,Tuesday,0,0,6,Occupied,25.8,0.98,1.01,0.03,0
2026-07-16 11:00,A,3,A,322,4,1,3,0,Thursday,0,0,11,Occupied,35.4,0.52,0.54,0.02,0
2026-08-07 07:00,B,4,A,411,4,3,0,1,Friday,0,0,7,Occupied,35.0,1.11,1.11,0.0,0
2026-08-13 13:00,B,1,B,107,4,0,3,1,Thursday,0,0,13,Empty,28.5,0.12,0.22,0.1,0
2026-08-22 16:00,B,1,B,105,4,4,0,0,Saturday,1,0,16,Occupied,30.1,1.34,1.32,-0.02,0
2026-08-19 16:00,B,4,B,414,4,1,3,0,Wednesday,0,0,16,Occupied,24.7,0.36,0.43,0.07,0
2026-07-03 06:00,A,2,B,217,4,4,0,0,Friday,0,0,6,Occupied,39.9,1.49,1.41,-0.08,0
2026-07-24 16:00,D,3,B,305,4,0,4,0,Friday,0,0,16,Empty,37.3,0.25,0.2,-0.05,0
2026-08-12 04:00,A,1,A,102,4,4,0,0,Wednesday,0,0,4,Occupied,27.3,1.3,1.33,0.03,0
2026-08-09 12:00,D,3,A,306,4,3,1,0,Sunday,1,0,12,Occupied,26.6,0.99,1.05,0.06,0
2026-08-01 12:00,C,4,A,405,4,2,1,1,Saturday,1,0,12,Occupied,31.9,0.77,0.74,-0.03,0
2026-08-25 05:00,A,1,B,115,4,3,1,0,Tuesday,0,0,5,Occupied,35.2,1.12,1.15,0.03,0
2026-08-30 08:00,D,3,A,310,4,3,0,1,Sunday,1,0,8,Occupied,36.8,1.14,1.19,0.05,0
2026-08-07 14:00,D,1,A,121,4,1,2,1,Friday,0,0,14,Occupied,31.4,0.46,0.41,-0.05,0
2026-08-14 10:00,A,3,A,324,4,0,3,1,Friday,0,0,10,Empty,39.8,0.29,0.87,0.58,1
2026-08-29 02:00,A,4,A,404,4,0,0,4,Saturday,1,1,2,Empty,29.2,0.13,0.15,0.02,0
